S2_0min_R1	S2_0min_R2	S2_2.5min_R2	S2_5min_R1	S2_5min_R2	S2_10min_R1	S2_10min_R2	S2_20min_R1	S2_20min_R2
308.225626209683	194.972073908682	139.061943256142	80.4635643914374	74.5123819086304	52.6052359627971	19.3133519339729	19	22.1465825731866
225.162595538477	166.669676083228	94.6494901743371	54.2450995897331	80.7217470676829	31.5631415776783	24.993749561612	24	25.7379202877574
3827.07765282624	2474.25851211856	3942.51530226181	3357.77166460448	2993.8010588289	2789.03396486393	1509.84968942647	1505	1573.60447526777
6515.9858440586	4253.53592207876	5783.81192265334	4824.1975235136	4201.96610834741	3201.26772304513	1818.48462719486	1761	1618.49619669991
1494.44808075385	1030.20728084652	1145.25883110948	956.521922765627	1130.10445894756	740.299138821908	550.998569880992	351	411.208168318356
557.414718223302	384.912610426172	493.633494909235	421.303606813594	416.914517822099	320.413709955219	168.518462953293	172	150.836184011973
948.01690377633	633.973711290166	426.650778785858	388.756547059754	334.418666423258	232.419497071994	138.98039528957	149	98.1632308649351
860.835045137957	555.355939552794	650.169190197562	593.079755514415	538.440664506412	589.178642783328	327.948289702364	369	298.081030309376
865.640344432985	559.758534770087	652.353409201585	597.600180480226	540.21476883757	590.135101619015	328.705676052716	372	299.876699166662
593.111227272085	366.044345209203	117.21975321591	73.2308844461397	74.5123819086304	56.431071305546	31.0528403644271	46	40.1032711460406
428.358108585395	292.458110863023	222.062265409022	145.557683899117	194.264424261786	94.6894247330348	62.1056807288541	65	52.6729531470383
307.539154881822	153.46189043135	270.843156498872	215.172228372608	188.055059102734	175.031966930761	97.3241460202165	88	65.2426351480361
576.635915403416	486.801242597806	586.82683908089	479.165046375976	493.201004061887	369.193110575267	284.398574557131	274	226.852832303722
529.269393780993	425.793851729606	370.589157682597	348.976807360616	322.886988270732	248.679297278677	170.411928829173	139	114.922806866265
2263.98243928627	1776.7616412646	2233.72796811436	2430.18046162004	2607.04631463648	2355.75811229762	1542.4173024916	1755	1516.7416281204
365.889217750025	241.513794777206	344.378529634319	329.086937511047	324.661092601889	328.065380640717	198.435223792192	203	167.595760013304
361.083918454996	233.966488690418	284.676543524352	292.019452791396	293.614266806627	276.416603513607	146.175565617913	137	148.441958868926
441.401063814758	283.023978254538	141.246162260165	94.0248392888707	92.253425220209	52.6052359627971	29.5380676637233	54	48.4830591467058
282.139715750957	200.632553473773	164.544498303078	111.202454158953	103.785103372735	81.2990010334137	53.0170445246316	65	44.891721432135
1832.19197406157	1273.60790214542	222.790338410363	216.07631336577	209.344311076628	204.682190837065	124.590054632884	178	185.552448586158
497.691712699377	329.565699123062	110.66709620384	64.1900345145175	66.52891241842	46.8664829486738	29.1593744885474	31	35.3148208599462
4777.84044191402	3469.24503122674	2427.39538647108	2021.53404471072	2074.81501528912	1311.30506372718	966.046289873822	596	578.80392833166
4834.13109079864	3514.52886774747	2441.22877349656	2026.95855466969	2084.57258911049	1320.86965208405	973.241460202165	613	588.979385189611
1575.45169744148	1153.47994693072	1235.53988327577	1333.52536491427	1383.80137830314	942.111953151912	864.55651892667	633	552.467451758141
542.998820338217	372.962709122092	290.501127535081	185.337423598255	222.650093560312	115.731519118154	65.8926124806135	70	47.884502860944
3382.24423237218	2703.19346341779	2335.6581883021	1775.6229265706	1760.79854867418	981.326765415088	546.832944954057	539	461.486896322347
1668.8117980306	1151.59312040902	1277.76811735355	1099.36735168526	1152.28076308703	760.38477437134	514.644025064102	573	424.974962890878
