gene	cluster
NM_001170552.1	2
NR_033173.1	2
NM_153526.5	1
NM_028234.1	1
NM_001302129.1	2
NM_144525.3	1
NR_122116.1	4
NM_001048192.2	4
NM_027855.4	1
NM_001205132.1	1
NM_011278.5	2
NM_001304269.1	2
NM_001024458.3	1
NM_025281.3	1
NM_019438.1	2
NM_001310612.1	2
NM_001310618.1	2
NM_001310629.1	1
NM_001113423.2	2
NR_015531.1	4
NM_153798.2	2
NM_026735.2	2
NR_028429.1	2
NM_001009818.2	1
NM_001039084.1	1
NM_001271567.1	2
NM_016980.2	2
NM_001253877.1	4
NM_001163531.1	2
NM_001301643.1	2
NM_007475.5	1
NM_011290.5	2
NM_175474.3	1
NM_030564.1	2
NM_001134767.1	4
NM_026445.2	3
NM_001130476.2	4
NM_011293.2	1
NM_027356.2	2
NM_178398.4	1
NM_007984.2	2
NM_001291248.1	1
NM_001081001.2	1
NM_001003909.4	4
NM_023733.3	2
NM_001080977.1	1
NM_023229.2	2
NM_001134692.2	2
NM_001177621.1	1
NM_001294324.1	3
NM_001294322.1	3
NM_027901.2	1
NM_175311.4	3
NM_008014.3	1
NM_177298.3	4
NM_026660.2	2
NM_029162.2	2
NM_011292.2	2
NM_173765.3	4
NM_026969.1	4
NR_034038.1	1
NM_172405.3	1
NM_001282051.1	4
NM_153570.2	1
NM_009469.3	2
NM_019682.4	2
NR_027810.1	1
NM_023232.3	4
NM_001005525.2	1
NM_009903.2	2
NM_018871.3	2
NM_009315.3	4
NM_010752.3	1
NM_026510.1	1
NM_007393.5	2
NM_133735.2	2
NM_010439.4	1
NM_001164230.1	1
NM_177185.4	2
NM_001311100.1	2
NM_001170849.1	1
NM_028358.2	1
NM_001286663.1	1
NM_029353.1	4
NM_001113564.1	1
NM_001308303.1	1
NM_001253681.1	1
NM_026506.2	2
NR_037960.1	1
NR_037961.1	1
NM_138677.2	1
NM_008188.2	2
NM_001166428.1	4
NM_145997.2	1
NM_138747.2	2
NR_028592.1	4
NR_029441.1	2
NM_029250.2	1
NM_026218.2	1
NM_145573.2	4
NR_126540.1	2
NM_001311093.1	2
NM_001146689.1	1
NM_198102.2	2
NM_016806.3	1
NM_145567.1	1
NM_145958.2	1
NM_007836.1	2
NM_001039392.2	1
NM_025284.4	1
NM_025882.3	1
NM_001083922.1	4
NR_028081.1	2
NM_133934.4	3
NM_001109745.1	2
NR_027010.1	2
NM_029780.3	2
NM_172086.2	2
NM_013535.1	2
NR_024201.3	2
NM_001164089.1	1
NM_012003.2	1
NM_008084.3	2
NM_001289726.1	3
NM_011657.2	4
NM_133927.1	3
NM_001167695.2	1
NM_001167694.2	2
NM_175652.3	2
NM_138757.2	4
NM_001301351.1	1
NM_029767.2	2
NM_009081.2	2
NM_001252454.1	3
NM_009095.2	2
NM_029809.2	3
NM_198631.2	2
NM_009201.2	2
NM_023133.1	1
NM_018820.4	2
NM_013647.2	2
NM_177301.5	2
NM_001033355.3	4
NM_025880.4	1
NM_001171024.1	2
NM_001278207.1	1
NM_148927.2	2
NM_009077.2	1
NM_001033170.4	4
NM_010699.2	1
NM_146190.2	1
NM_010418.2	1
NM_199035.2	1
NM_011975.3	2
NM_181517.3	1
NM_019772.2	2
NM_172746.3	2
NM_198424.3	3
NM_026370.1	2
NM_139149.2	1
NM_199301.2	2
NR_024509.1	4
NM_026020.6	2
NM_133655.2	2
NM_001115085.1	4
NM_010202.5	1
NM_172894.2	4
NM_183406.3	2
NM_001289848.1	2
NM_133777.2	2
NM_026885.3	4
NM_145578.3	2
NM_001285891.1	1
NM_172739.4	1
NM_001282021.1	1
NM_001305843.1	3
NM_020486.2	1
NM_028771.2	3
NM_181593.2	1
NM_001254951.1	2
NM_011756.4	2
NM_001082548.1	2
NM_016682.2	1
NM_011274.5	1
NM_001252470.1	3
NM_013725.4	2
NM_009438.5	1
NM_010240.2	4
NM_008654.2	2
NM_001172561.1	2
NM_021884.3	4
NM_001163574.1	1
NM_001042527.2	2
NM_009092.3	2
NM_030705.4	2
NM_012052.2	2
NM_029211.2	1
NM_001040131.2	2
NM_133700.2	1
NR_029433.1	1
NM_026533.3	2
NM_011083.2	2
NM_170669.2	1
NM_019419.2	4
NM_001311143.1	2
NM_028816.2	2
NM_001081459.2	1
NM_183020.1	2
NM_019674.3	4
NM_001177307.1	2
NM_001285905.1	1
NM_009266.3	1
NM_133962.3	2
NM_053177.1	2
NM_001024728.2	2
NM_001302457.1	1
NM_001302451.1	1
NM_146207.2	1
NM_025924.2	1
NM_173189.2	1
NR_045473.1	1
NM_001079908.2	1
NM_007918.3	1
NM_030110.1	1
NM_033560.3	1
NM_008252.3	4
NM_007509.3	1
NM_133224.2	1
NM_027481.2	2
NM_001146153.1	4
NM_001310502.1	1
NM_001294269.1	1
NM_001164581.1	2
NM_008452.2	2
NM_001316753.1	2
NM_010442.2	2
NM_001081240.3	2
NR_045822.1	1
NM_018808.3	2
NM_018771.3	1
NM_197982.3	2
NM_183358.4	1
NR_103491.1	1
NM_001317385.1	1
NM_026760.2	1
NM_001122843.1	4
NM_001039514.1	4
NM_199446.1	1
NM_001164497.1	1
NM_172410.2	1
NM_022331.1	2
NM_024191.2	4
NM_026452.2	1
NM_001035123.3	4
NM_001301164.1	2
NM_145604.2	2
NM_148952.1	2
NM_172760.3	4
NM_026532.3	1
NM_001301100.1	1
NM_173432.2	1
NM_001301176.1	2
NM_178798.3	1
NM_145404.1	1
NM_009864.3	2
NM_173037.1	1
NM_011574.2	2
NM_009229.4	1
NM_001286260.1	2
NM_001122594.2	3
NM_146216.2	2
NM_133973.2	1
NM_146217.4	1
NM_028274.4	4
NM_020584.2	2
NM_009941.3	1
NM_001293559.1	1
NM_026160.4	2
NM_026014.3	2
NR_045268.1	1
NM_153176.4	4
NM_016738.5	2
NM_194444.2	2
NM_001037878.3	1
NM_054070.3	4
NM_009003.3	1
NM_026855.4	2
NM_010322.3	1
NM_011592.2	1
NM_024248.1	1
NM_001281974.1	2
NR_106097.1	2
NM_198031.1	1
NM_025556.3	1
NM_001034862.2	2
NM_001286469.1	1
NM_001113350.2	1
NM_001004140.2	1
NM_181325.4	1
NM_011130.2	1
NM_018743.4	2
NM_001042484.1	2
NM_173012.3	2
NM_028102.1	4
NM_026121.3	2
NM_011791.3	4
NM_029884.1	2
NR_028522.1	3
NM_026453.3	1
NM_026067.3	1
NM_015802.3	1
NR_106126.1	1
NM_001271543.1	4
NM_001040699.1	1
NM_007450.4	1
NM_023503.3	2
NM_007711.3	1
NM_001039965.1	1
NM_177899.3	1
NM_001167939.1	4
NM_025577.2	4
NM_019883.3	4
NM_029366.2	1
NM_029751.4	2
NM_001289859.1	2
NM_138585.3	1
NM_133823.4	3
NM_001007571.2	1
NM_026423.4	1
NM_010499.4	2
NR_033145.1	3
NM_001297606.1	3
NM_007591.3	2
NM_008416.3	2
NM_025722.3	1
NM_019794.4	1
NM_028007.3	1
NM_134141.4	2
NM_144931.3	2
NM_177150.2	1
NM_001253804.1	4
NM_176838.2	1
NM_001007567.2	2
NM_145412.3	1
NM_026513.2	4
NM_028018.2	1
